Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27196812
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6624086313.14334,7346566037.83392,7793042529.15992,8414050621.01716,9213648655.97511,10041659445.118,10939526218.6393,11634569521.9273,12499863917.1003,13647475854.0287,15312791743.8476,17788536733.1204,21973207929.0434,29399860144.7748,35051468639.576,39902300703.1682,42791707448.0325,51343861460.328,61809208755.804,73647694287.1848,81737498404.5948,70755997062.3812,70996111962.5716,71838528420.4075,67719055773.3306,69114996009.577,98648254168.5444,123682091858.946,132817124707.456,132584448257.93,165811372382.912,173113449616.971,194314032056.098,189634029338.696,202738023129.743,240094169510.031,235952581232.129,211724812267.448,217068085815.918,216421809125.916,196181599831.287,196477206829.33,212837224022.813,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,429234399096.173,399290118782.429,389827789217.634,428954737064.057,406750487603.59,426580502769.417,438556021078.034,379546097300.633,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480466363176.806,473221298968.216,516670509628.876,534790720466.822
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8884848484.84848,5344000000,444658671.586716,1570392598.14954,1193141110.35043,2417331192.9526,3176507376.31836,3962362387.47922,4446368570.6901,4581248566.50158,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169736027.157764,190022030.403525,212170033.947205,237650038.024006,266560042.649607,300272048.043528,346800000,398000000,453800000,538700000,539500000,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10475300000,11139100000,11837600000,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,116317,122197,128493,135087,141528,147952,154874,162267,170089,177981,184982,190857,196055,200791,205342,209886,214501,219157,223761,228230,232526,236614,240614,244698,248863,253154,257536,261935,266448,271178,275945,280731,285927,291339,296509,301461,306268,310904,315368,319614,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,391577364.077364,422181562.186708,534081183.680728,761132545.104221,1042176883.51827,1099107600.50569,1581709518.98261,1989060283.04271,2272042965.21126,2710160739.18742,3493834468.02865,3943109531.91489,4145421079.78723,4247030468.08511,4440874566.48936,4152376484.04255,3470746843.08511,3856922694.14894,4209834172.87234,4393093962.76596,4809511005.31915,5248911170.21277,5402232446.80851,5913001063.82979,6330627925.53191,6651180851.06383,6938166755.31915,7219407712.76596,7031309042.55319,7528469148.93617,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,26805984042.5532,29914680851.0638,31963404255.3191,33823324468.0851,34772526595.7447,32523297872.3404,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47109734308.5106
Bahrain,BHR,"Population, total",SP.POP.TOTL,165477,172346,179349,186501,193816,200866,207543,214189,219337,222469,224809,230733,242113,255320,269038,283243,297863,312823,328046,343457,358978,373524,386983,400707,415154,430358,446286,462854,479929,497327,514797,503052,516458,530225,544366,558879,573792,589115,604842,620989,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.33333,4817580375,5081413541.66667,5319458562.5,5386054833.33333,5906636791.66667,6439687854.16667,7253575687.5,7483685770.83333,8471006437.5,8992722166.66667,8751843187.5,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000,22278423076.9231,21774033333.3333,24298032258.0645,26579005558.3652,28781715188.8919,31598340778.2164,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,91636997370.9772,102475158190.998,115275540051.262,128607482310.357,133310747603.483,149998957434.186,172886611653.786,195146608978.131,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119432068.852
Bangladesh,BGD,"Population, total",SP.POP.TOTL,51828660,53310348,54881146,56504402,58178374,59902519,61669806,63510929,65408276,67294133,69058894,70276758,71641519,73722294,75839348,77854351,79855318,81867264,83889655,85935072,88016432,90303105,92814507,95335155,97814966,100253825,102635572,104959291,107216008,109433799,111633717,113787109,115952192,118132360,120343179,122600370,124862179,127198069,129622332,132108065,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,80021846.9453826,85363759.3406016,88782583.460208,99893761.2655968,99252731.4515047,105021996.861675,113195122.762193,125554008.718721,125733668.5,141393142,166210203,186826503.031076,213725216.665339,260767827.621284,311804629.873599,402178605.019554,435911268.58968,495097667.929041,552883707.055138,670362452.145379,1012280614.52792,1114204743.20091,1163923830.35847,1236016506.73694,1346890071.09829,1409536120.91682,1547755183.21484,1704370307.76115,1812757917.76463,2006165166.80754,2012131457.26644,2020583702.08323,1957000000,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,4790410400,4466809600,5672900000,5663100000,5761450000,5667200000,5620600000,5698150000,5674600000,5683150000,6001950000,6161850000,5407050000,5947550000,6884900000,7223250000,7498050000
Barbados,BRB,"Population, total",SP.POP.TOTL,230893,233148,235224,237557,239958,242417,244996,247091,248540,249444,249387,249168,249658,250322,250777,251175,251442,251626,251551,251269,251524,252270,253095,253992,254920,255820,256618,257279,257763,258109,258582,259373,260267,261027,261620,262039,262284,262392,262436,262517,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17389558232.9317,18404907975.4601,16939790093.9054,16275073526.9819,14931435232.078,13972683273.5692,14500437519.8258,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78813069120.9984,56454769844.7632,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
Belarus,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9132629
